,model,method,ngram_range,min_df,max_df,max_feature,features_limit,train_acc,test_acc,f1_train,f1_test,gap_percent,comments
0,LogisticRegression,countVectorizer,"(1, 1)",1,0.9,5000,5000,0.9624,0.9288,0.9615,0.928,3.35,"ngram=(1, 1), min_df=1, max_df=0.9"
1,LogisticRegression,countVectorizer,"(1, 1)",1,0.95,5000,5000,0.9624,0.9288,0.9615,0.928,3.35,"ngram=(1, 1), min_df=1, max_df=0.95"
2,LogisticRegression,countVectorizer,"(1, 1)",1,0.99,5000,5000,0.9624,0.9288,0.9615,0.928,3.35,"ngram=(1, 1), min_df=1, max_df=0.99"
3,LogisticRegression,countVectorizer,"(1, 1)",5,0.9,4888,5000,0.9627,0.928,0.9618,0.9271,3.48,"ngram=(1, 1), min_df=5, max_df=0.9"
4,LogisticRegression,countVectorizer,"(1, 1)",5,0.95,4888,5000,0.9627,0.928,0.9618,0.9271,3.48,"ngram=(1, 1), min_df=5, max_df=0.95"
5,LogisticRegression,countVectorizer,"(1, 1)",5,0.99,4888,5000,0.9627,0.928,0.9618,0.9271,3.48,"ngram=(1, 1), min_df=5, max_df=0.99"
6,LogisticRegression,countVectorizer,"(1, 1)",10,0.9,3185,5000,0.9547,0.9262,0.9537,0.9254,2.84,"ngram=(1, 1), min_df=10, max_df=0.9"
7,LogisticRegression,countVectorizer,"(1, 1)",10,0.95,3185,5000,0.9547,0.9262,0.9537,0.9254,2.84,"ngram=(1, 1), min_df=10, max_df=0.95"
8,LogisticRegression,countVectorizer,"(1, 1)",10,0.99,3185,5000,0.9547,0.9262,0.9537,0.9254,2.84,"ngram=(1, 1), min_df=10, max_df=0.99"
9,LogisticRegression,countVectorizer,"(1, 1)",20,0.9,1987,5000,0.9431,0.9199,0.942,0.9191,2.28,"ngram=(1, 1), min_df=20, max_df=0.9"
10,LogisticRegression,countVectorizer,"(1, 1)",20,0.95,1987,5000,0.9431,0.9199,0.942,0.9191,2.28,"ngram=(1, 1), min_df=20, max_df=0.95"
11,LogisticRegression,countVectorizer,"(1, 1)",20,0.99,1987,5000,0.9431,0.9199,0.942,0.9191,2.28,"ngram=(1, 1), min_df=20, max_df=0.99"
12,LogisticRegression,countVectorizer,"(1, 2)",1,0.9,5000,5000,0.9638,0.9291,0.963,0.9283,3.47,"ngram=(1, 2), min_df=1, max_df=0.9"
13,LogisticRegression,countVectorizer,"(1, 2)",1,0.95,5000,5000,0.9638,0.9291,0.963,0.9283,3.47,"ngram=(1, 2), min_df=1, max_df=0.95"
14,LogisticRegression,countVectorizer,"(1, 2)",1,0.99,5000,5000,0.9638,0.9291,0.963,0.9283,3.47,"ngram=(1, 2), min_df=1, max_df=0.99"
15,LogisticRegression,countVectorizer,"(1, 2)",5,0.9,5000,5000,0.9643,0.929,0.9635,0.9281,3.53,"ngram=(1, 2), min_df=5, max_df=0.9"
16,LogisticRegression,countVectorizer,"(1, 2)",5,0.95,5000,5000,0.9643,0.929,0.9635,0.9281,3.53,"ngram=(1, 2), min_df=5, max_df=0.95"
17,LogisticRegression,countVectorizer,"(1, 2)",5,0.99,5000,5000,0.9643,0.929,0.9635,0.9281,3.53,"ngram=(1, 2), min_df=5, max_df=0.99"
18,LogisticRegression,countVectorizer,"(1, 2)",10,0.9,4538,5000,0.9621,0.9278,0.9613,0.9269,3.43,"ngram=(1, 2), min_df=10, max_df=0.9"
19,LogisticRegression,countVectorizer,"(1, 2)",10,0.95,4538,5000,0.9621,0.9278,0.9613,0.9269,3.43,"ngram=(1, 2), min_df=10, max_df=0.95"
20,LogisticRegression,countVectorizer,"(1, 2)",10,0.99,4538,5000,0.9621,0.9278,0.9613,0.9269,3.43,"ngram=(1, 2), min_df=10, max_df=0.99"
21,LogisticRegression,countVectorizer,"(1, 2)",20,0.9,2456,5000,0.9495,0.924,0.9485,0.923,2.55,"ngram=(1, 2), min_df=20, max_df=0.9"
22,LogisticRegression,countVectorizer,"(1, 2)",20,0.95,2456,5000,0.9495,0.924,0.9485,0.923,2.55,"ngram=(1, 2), min_df=20, max_df=0.95"
23,LogisticRegression,countVectorizer,"(1, 2)",20,0.99,2456,5000,0.9495,0.924,0.9485,0.923,2.55,"ngram=(1, 2), min_df=20, max_df=0.99"
24,LogisticRegression,countVectorizer,"(1, 3)",1,0.9,5000,5000,0.9637,0.9287,0.9629,0.9278,3.5,"ngram=(1, 3), min_df=1, max_df=0.9"
25,LogisticRegression,countVectorizer,"(1, 3)",1,0.95,5000,5000,0.9637,0.9287,0.9629,0.9278,3.5,"ngram=(1, 3), min_df=1, max_df=0.95"
26,LogisticRegression,countVectorizer,"(1, 3)",1,0.99,5000,5000,0.9637,0.9287,0.9629,0.9278,3.5,"ngram=(1, 3), min_df=1, max_df=0.99"
27,LogisticRegression,countVectorizer,"(1, 3)",5,0.9,5000,5000,0.9643,0.9278,0.9635,0.927,3.65,"ngram=(1, 3), min_df=5, max_df=0.9"
28,LogisticRegression,countVectorizer,"(1, 3)",5,0.95,5000,5000,0.9643,0.9278,0.9635,0.927,3.65,"ngram=(1, 3), min_df=5, max_df=0.95"
29,LogisticRegression,countVectorizer,"(1, 3)",5,0.99,5000,5000,0.9643,0.9278,0.9635,0.927,3.65,"ngram=(1, 3), min_df=5, max_df=0.99"
30,LogisticRegression,countVectorizer,"(1, 3)",10,0.9,4666,5000,0.9628,0.9274,0.962,0.9265,3.55,"ngram=(1, 3), min_df=10, max_df=0.9"
31,LogisticRegression,countVectorizer,"(1, 3)",10,0.95,4666,5000,0.9628,0.9274,0.962,0.9265,3.55,"ngram=(1, 3), min_df=10, max_df=0.95"
