,model,method,ngram_range,min_df,max_df,max_feature,features_limit,train_acc,test_acc,f1_train,f1_test,gap_percent,comments
0,LogisticRegression,TFIDF,"(1, 1)",1,0.9,5000,5000,0.949,0.9261,0.9478,0.925,2.28,"ngram=(1, 1), min_df=1, max_df=0.9"
1,LogisticRegression,TFIDF,"(1, 1)",1,0.95,5000,5000,0.949,0.9261,0.9478,0.925,2.28,"ngram=(1, 1), min_df=1, max_df=0.95"
2,LogisticRegression,TFIDF,"(1, 1)",1,0.99,5000,5000,0.949,0.9261,0.9478,0.925,2.28,"ngram=(1, 1), min_df=1, max_df=0.99"
3,LogisticRegression,TFIDF,"(1, 1)",5,0.9,4888,5000,0.9489,0.9258,0.9477,0.9247,2.3,"ngram=(1, 1), min_df=5, max_df=0.9"
4,LogisticRegression,TFIDF,"(1, 1)",5,0.95,4888,5000,0.9489,0.9258,0.9477,0.9247,2.3,"ngram=(1, 1), min_df=5, max_df=0.95"
5,LogisticRegression,TFIDF,"(1, 1)",5,0.99,4888,5000,0.9489,0.9258,0.9477,0.9247,2.3,"ngram=(1, 1), min_df=5, max_df=0.99"
6,LogisticRegression,TFIDF,"(1, 1)",10,0.9,3185,5000,0.9433,0.924,0.9421,0.9229,1.92,"ngram=(1, 1), min_df=10, max_df=0.9"
7,LogisticRegression,TFIDF,"(1, 1)",10,0.95,3185,5000,0.9433,0.924,0.9421,0.9229,1.92,"ngram=(1, 1), min_df=10, max_df=0.95"
8,LogisticRegression,TFIDF,"(1, 1)",10,0.99,3185,5000,0.9433,0.924,0.9421,0.9229,1.92,"ngram=(1, 1), min_df=10, max_df=0.99"
9,LogisticRegression,TFIDF,"(1, 1)",20,0.9,1987,5000,0.9365,0.9187,0.9353,0.9175,1.77,"ngram=(1, 1), min_df=20, max_df=0.9"
10,LogisticRegression,TFIDF,"(1, 1)",20,0.95,1987,5000,0.9365,0.9187,0.9353,0.9175,1.77,"ngram=(1, 1), min_df=20, max_df=0.95"
11,LogisticRegression,TFIDF,"(1, 1)",20,0.99,1987,5000,0.9365,0.9187,0.9353,0.9175,1.77,"ngram=(1, 1), min_df=20, max_df=0.99"
12,LogisticRegression,TFIDF,"(1, 2)",1,0.9,5000,5000,0.9487,0.9263,0.9475,0.9252,2.24,"ngram=(1, 2), min_df=1, max_df=0.9"
13,LogisticRegression,TFIDF,"(1, 2)",1,0.95,5000,5000,0.9487,0.9263,0.9475,0.9252,2.24,"ngram=(1, 2), min_df=1, max_df=0.95"
14,LogisticRegression,TFIDF,"(1, 2)",1,0.99,5000,5000,0.9487,0.9263,0.9475,0.9252,2.24,"ngram=(1, 2), min_df=1, max_df=0.99"
15,LogisticRegression,TFIDF,"(1, 2)",5,0.9,5000,5000,0.9485,0.9263,0.9473,0.9252,2.21,"ngram=(1, 2), min_df=5, max_df=0.9"
16,LogisticRegression,TFIDF,"(1, 2)",5,0.95,5000,5000,0.9485,0.9263,0.9473,0.9252,2.21,"ngram=(1, 2), min_df=5, max_df=0.95"
17,LogisticRegression,TFIDF,"(1, 2)",5,0.99,5000,5000,0.9485,0.9263,0.9473,0.9252,2.21,"ngram=(1, 2), min_df=5, max_df=0.99"
18,LogisticRegression,TFIDF,"(1, 2)",10,0.9,4538,5000,0.9476,0.9262,0.9465,0.9251,2.14,"ngram=(1, 2), min_df=10, max_df=0.9"
19,LogisticRegression,TFIDF,"(1, 2)",10,0.95,4538,5000,0.9476,0.9262,0.9465,0.9251,2.14,"ngram=(1, 2), min_df=10, max_df=0.95"
20,LogisticRegression,TFIDF,"(1, 2)",10,0.99,4538,5000,0.9476,0.9262,0.9465,0.9251,2.14,"ngram=(1, 2), min_df=10, max_df=0.99"
21,LogisticRegression,TFIDF,"(1, 2)",20,0.9,2456,5000,0.9387,0.9199,0.9376,0.9188,1.88,"ngram=(1, 2), min_df=20, max_df=0.9"
22,LogisticRegression,TFIDF,"(1, 2)",20,0.95,2456,5000,0.9387,0.9199,0.9376,0.9188,1.88,"ngram=(1, 2), min_df=20, max_df=0.95"
23,LogisticRegression,TFIDF,"(1, 2)",20,0.99,2456,5000,0.9387,0.9199,0.9376,0.9188,1.88,"ngram=(1, 2), min_df=20, max_df=0.99"
24,LogisticRegression,TFIDF,"(1, 3)",1,0.9,5000,5000,0.9485,0.9266,0.9474,0.9255,2.19,"ngram=(1, 3), min_df=1, max_df=0.9"
25,LogisticRegression,TFIDF,"(1, 3)",1,0.95,5000,5000,0.9485,0.9266,0.9474,0.9255,2.19,"ngram=(1, 3), min_df=1, max_df=0.95"
26,LogisticRegression,TFIDF,"(1, 3)",1,0.99,5000,5000,0.9485,0.9266,0.9474,0.9255,2.19,"ngram=(1, 3), min_df=1, max_df=0.99"
27,LogisticRegression,TFIDF,"(1, 3)",5,0.9,5000,5000,0.9485,0.9258,0.9473,0.9246,2.27,"ngram=(1, 3), min_df=5, max_df=0.9"
28,LogisticRegression,TFIDF,"(1, 3)",5,0.95,5000,5000,0.9485,0.9258,0.9473,0.9246,2.27,"ngram=(1, 3), min_df=5, max_df=0.95"
29,LogisticRegression,TFIDF,"(1, 3)",5,0.99,5000,5000,0.9485,0.9258,0.9473,0.9246,2.27,"ngram=(1, 3), min_df=5, max_df=0.99"
30,LogisticRegression,TFIDF,"(1, 3)",10,0.9,4666,5000,0.9476,0.9263,0.9465,0.9252,2.12,"ngram=(1, 3), min_df=10, max_df=0.9"
31,LogisticRegression,TFIDF,"(1, 3)",10,0.95,4666,5000,0.9476,0.9263,0.9465,0.9252,2.12,"ngram=(1, 3), min_df=10, max_df=0.95"
32,LogisticRegression,TFIDF,"(1, 3)",10,0.99,4666,5000,0.9476,0.9263,0.9465,0.9252,2.12,"ngram=(1, 3), min_df=10, max_df=0.99"
33,LogisticRegression,TFIDF,"(1, 3)",20,0.9,2482,5000,0.9394,0.9199,0.9383,0.9187,1.96,"ngram=(1, 3), min_df=20, max_df=0.9"
34,LogisticRegression,TFIDF,"(1, 3)",20,0.95,2482,5000,0.9394,0.9199,0.9383,0.9187,1.96,"ngram=(1, 3), min_df=20, max_df=0.95"
35,LogisticRegression,TFIDF,"(1, 3)",20,0.99,2482,5000,0.9394,0.9199,0.9383,0.9187,1.96,"ngram=(1, 3), min_df=20, max_df=0.99"
36,LogisticRegression,TFIDF,"(2, 2)",1,0.9,5000,5000,0.8666,0.8235,0.8717,0.8337,3.8,"ngram=(2, 2), min_df=1, max_df=0.9"
37,LogisticRegression,TFIDF,"(2, 2)",1,0.95,5000,5000,0.8666,0.8235,0.8717,0.8337,3.8,"ngram=(2, 2), min_df=1, max_df=0.95"
38,LogisticRegression,TFIDF,"(2, 2)",1,0.99,5000,5000,0.8666,0.8235,0.8717,0.8337,3.8,"ngram=(2, 2), min_df=1, max_df=0.99"
39,LogisticRegression,TFIDF,"(2, 2)",5,0.9,4132,5000,0.8562,0.8186,0.8628,0.8301,3.27,"ngram=(2, 2), min_df=5, max_df=0.9"
40,LogisticRegression,TFIDF,"(2, 2)",5,0.95,4132,5000,0.8562,0.8186,0.8628,0.8301,3.27,"ngram=(2, 2), min_df=5, max_df=0.95"
41,LogisticRegression,TFIDF,"(2, 2)",5,0.99,4132,5000,0.8562,0.8186,0.8628,0.8301,3.27,"ngram=(2, 2), min_df=5, max_df=0.99"
42,LogisticRegression,TFIDF,"(2, 2)",10,0.9,1353,5000,0.7838,0.7588,0.8065,0.7877,1.88,"ngram=(2, 2), min_df=10, max_df=0.9"
43,LogisticRegression,TFIDF,"(2, 2)",10,0.95,1353,5000,0.7838,0.7588,0.8065,0.7877,1.88,"ngram=(2, 2), min_df=10, max_df=0.95"
44,LogisticRegression,TFIDF,"(2, 2)",10,0.99,1353,5000,0.7838,0.7588,0.8065,0.7877,1.88,"ngram=(2, 2), min_df=10, max_df=0.99"
45,LogisticRegression,TFIDF,"(2, 2)",20,0.9,469,5000,0.7056,0.6906,0.7548,0.7446,1.02,"ngram=(2, 2), min_df=20, max_df=0.9"
46,LogisticRegression,TFIDF,"(2, 2)",20,0.95,469,5000,0.7056,0.6906,0.7548,0.7446,1.02,"ngram=(2, 2), min_df=20, max_df=0.95"
47,LogisticRegression,TFIDF,"(2, 2)",20,0.99,469,5000,0.7056,0.6906,0.7548,0.7446,1.02,"ngram=(2, 2), min_df=20, max_df=0.99"
48,LinearSVC,TFIDF,"(1, 1)",1,0.9,5000,5000,0.9717,0.9293,0.971,0.9281,4.29,"ngram=(1, 1), min_df=1, max_df=0.9"
49,LinearSVC,TFIDF,"(1, 1)",1,0.95,5000,5000,0.9717,0.9293,0.971,0.9281,4.29,"ngram=(1, 1), min_df=1, max_df=0.95"
50,LinearSVC,TFIDF,"(1, 1)",1,0.99,5000,5000,0.9717,0.9293,0.971,0.9281,4.29,"ngram=(1, 1), min_df=1, max_df=0.99"
51,LinearSVC,TFIDF,"(1, 1)",5,0.9,4888,5000,0.9712,0.9294,0.9705,0.9282,4.22,"ngram=(1, 1), min_df=5, max_df=0.9"
52,LinearSVC,TFIDF,"(1, 1)",5,0.95,4888,5000,0.9712,0.9294,0.9705,0.9282,4.22,"ngram=(1, 1), min_df=5, max_df=0.95"
53,LinearSVC,TFIDF,"(1, 1)",5,0.99,4888,5000,0.9712,0.9294,0.9705,0.9282,4.22,"ngram=(1, 1), min_df=5, max_df=0.99"
54,LinearSVC,TFIDF,"(1, 1)",10,0.9,3185,5000,0.9616,0.9252,0.9606,0.9239,3.67,"ngram=(1, 1), min_df=10, max_df=0.9"
55,LinearSVC,TFIDF,"(1, 1)",10,0.95,3185,5000,0.9616,0.9252,0.9606,0.9239,3.67,"ngram=(1, 1), min_df=10, max_df=0.95"
56,LinearSVC,TFIDF,"(1, 1)",10,0.99,3185,5000,0.9616,0.9252,0.9606,0.9239,3.67,"ngram=(1, 1), min_df=10, max_df=0.99"
57,LinearSVC,TFIDF,"(1, 1)",20,0.9,1987,5000,0.9473,0.9192,0.9461,0.9178,2.83,"ngram=(1, 1), min_df=20, max_df=0.9"
58,LinearSVC,TFIDF,"(1, 1)",20,0.95,1987,5000,0.9473,0.9192,0.9461,0.9178,2.83,"ngram=(1, 1), min_df=20, max_df=0.95"
59,LinearSVC,TFIDF,"(1, 1)",20,0.99,1987,5000,0.9473,0.9192,0.9461,0.9178,2.83,"ngram=(1, 1), min_df=20, max_df=0.99"
60,LinearSVC,TFIDF,"(1, 2)",1,0.9,5000,5000,0.9718,0.9296,0.971,0.9282,4.29,"ngram=(1, 2), min_df=1, max_df=0.9"
61,LinearSVC,TFIDF,"(1, 2)",1,0.95,5000,5000,0.9718,0.9296,0.971,0.9282,4.29,"ngram=(1, 2), min_df=1, max_df=0.95"
62,LinearSVC,TFIDF,"(1, 2)",1,0.99,5000,5000,0.9718,0.9296,0.971,0.9282,4.29,"ngram=(1, 2), min_df=1, max_df=0.99"
63,LinearSVC,TFIDF,"(1, 2)",5,0.9,5000,5000,0.9717,0.9294,0.971,0.928,4.3,"ngram=(1, 2), min_df=5, max_df=0.9"
64,LinearSVC,TFIDF,"(1, 2)",5,0.95,5000,5000,0.9717,0.9294,0.971,0.928,4.3,"ngram=(1, 2), min_df=5, max_df=0.95"
65,LinearSVC,TFIDF,"(1, 2)",5,0.99,5000,5000,0.9717,0.9294,0.971,0.928,4.3,"ngram=(1, 2), min_df=5, max_df=0.99"
66,LinearSVC,TFIDF,"(1, 2)",10,0.9,4538,5000,0.9692,0.9269,0.9685,0.9257,4.28,"ngram=(1, 2), min_df=10, max_df=0.9"
67,LinearSVC,TFIDF,"(1, 2)",10,0.95,4538,5000,0.9692,0.9269,0.9685,0.9257,4.28,"ngram=(1, 2), min_df=10, max_df=0.95"
68,LinearSVC,TFIDF,"(1, 2)",10,0.99,4538,5000,0.9692,0.9269,0.9685,0.9257,4.28,"ngram=(1, 2), min_df=10, max_df=0.99"
69,LinearSVC,TFIDF,"(1, 2)",20,0.9,2456,5000,0.9531,0.9234,0.9519,0.922,3.0,"ngram=(1, 2), min_df=20, max_df=0.9"
70,LinearSVC,TFIDF,"(1, 2)",20,0.95,2456,5000,0.9531,0.9234,0.9519,0.922,3.0,"ngram=(1, 2), min_df=20, max_df=0.95"
71,LinearSVC,TFIDF,"(1, 2)",20,0.99,2456,5000,0.9531,0.9234,0.9519,0.922,3.0,"ngram=(1, 2), min_df=20, max_df=0.99"
72,LinearSVC,TFIDF,"(1, 3)",1,0.9,5000,5000,0.9704,0.9272,0.9697,0.9259,4.37,"ngram=(1, 3), min_df=1, max_df=0.9"
73,LinearSVC,TFIDF,"(1, 3)",1,0.95,5000,5000,0.9704,0.9272,0.9697,0.9259,4.37,"ngram=(1, 3), min_df=1, max_df=0.95"
74,LinearSVC,TFIDF,"(1, 3)",1,0.99,5000,5000,0.9704,0.9272,0.9697,0.9259,4.37,"ngram=(1, 3), min_df=1, max_df=0.99"
75,LinearSVC,TFIDF,"(1, 3)",5,0.9,5000,5000,0.9709,0.9269,0.9701,0.9256,4.45,"ngram=(1, 3), min_df=5, max_df=0.9"
76,LinearSVC,TFIDF,"(1, 3)",5,0.95,5000,5000,0.9709,0.9269,0.9701,0.9256,4.45,"ngram=(1, 3), min_df=5, max_df=0.95"
77,LinearSVC,TFIDF,"(1, 3)",5,0.99,5000,5000,0.9709,0.9269,0.9701,0.9256,4.45,"ngram=(1, 3), min_df=5, max_df=0.99"
78,LinearSVC,TFIDF,"(1, 3)",10,0.9,4666,5000,0.9693,0.9266,0.9685,0.9253,4.32,"ngram=(1, 3), min_df=10, max_df=0.9"
79,LinearSVC,TFIDF,"(1, 3)",10,0.95,4666,5000,0.9693,0.9266,0.9685,0.9253,4.32,"ngram=(1, 3), min_df=10, max_df=0.95"
80,LinearSVC,TFIDF,"(1, 3)",10,0.99,4666,5000,0.9693,0.9266,0.9685,0.9253,4.32,"ngram=(1, 3), min_df=10, max_df=0.99"
81,LinearSVC,TFIDF,"(1, 3)",20,0.9,2482,5000,0.9531,0.9228,0.952,0.9214,3.06,"ngram=(1, 3), min_df=20, max_df=0.9"
82,LinearSVC,TFIDF,"(1, 3)",20,0.95,2482,5000,0.9531,0.9228,0.952,0.9214,3.06,"ngram=(1, 3), min_df=20, max_df=0.95"
83,LinearSVC,TFIDF,"(1, 3)",20,0.99,2482,5000,0.9531,0.9228,0.952,0.9214,3.06,"ngram=(1, 3), min_df=20, max_df=0.99"
84,LinearSVC,TFIDF,"(2, 2)",1,0.9,5000,5000,0.8774,0.8237,0.8823,0.8342,4.81,"ngram=(2, 2), min_df=1, max_df=0.9"
85,LinearSVC,TFIDF,"(2, 2)",1,0.95,5000,5000,0.8774,0.8237,0.8823,0.8342,4.81,"ngram=(2, 2), min_df=1, max_df=0.95"
86,LinearSVC,TFIDF,"(2, 2)",1,0.99,5000,5000,0.8774,0.8237,0.8823,0.8342,4.81,"ngram=(2, 2), min_df=1, max_df=0.99"
87,LinearSVC,TFIDF,"(2, 2)",5,0.9,4132,5000,0.8651,0.8183,0.8716,0.8305,4.11,"ngram=(2, 2), min_df=5, max_df=0.9"
88,LinearSVC,TFIDF,"(2, 2)",5,0.95,4132,5000,0.8651,0.8183,0.8716,0.8305,4.11,"ngram=(2, 2), min_df=5, max_df=0.95"
89,LinearSVC,TFIDF,"(2, 2)",5,0.99,4132,5000,0.8651,0.8183,0.8716,0.8305,4.11,"ngram=(2, 2), min_df=5, max_df=0.99"
90,LinearSVC,TFIDF,"(2, 2)",10,0.9,1353,5000,0.7849,0.7582,0.8081,0.7879,2.02,"ngram=(2, 2), min_df=10, max_df=0.9"
91,LinearSVC,TFIDF,"(2, 2)",10,0.95,1353,5000,0.7849,0.7582,0.8081,0.7879,2.02,"ngram=(2, 2), min_df=10, max_df=0.95"
92,LinearSVC,TFIDF,"(2, 2)",10,0.99,1353,5000,0.7849,0.7582,0.8081,0.7879,2.02,"ngram=(2, 2), min_df=10, max_df=0.99"
93,LinearSVC,TFIDF,"(2, 2)",20,0.9,469,5000,0.7058,0.6906,0.7552,0.7448,1.03,"ngram=(2, 2), min_df=20, max_df=0.9"
94,LinearSVC,TFIDF,"(2, 2)",20,0.95,469,5000,0.7058,0.6906,0.7552,0.7448,1.03,"ngram=(2, 2), min_df=20, max_df=0.95"
95,LinearSVC,TFIDF,"(2, 2)",20,0.99,469,5000,0.7058,0.6906,0.7552,0.7448,1.03,"ngram=(2, 2), min_df=20, max_df=0.99"
96,MultinomialNB,TFIDF,"(1, 1)",1,0.9,5000,5000,0.9352,0.9158,0.9328,0.9128,2.0,"ngram=(1, 1), min_df=1, max_df=0.9"
97,MultinomialNB,TFIDF,"(1, 1)",1,0.95,5000,5000,0.9352,0.9158,0.9328,0.9128,2.0,"ngram=(1, 1), min_df=1, max_df=0.95"
98,MultinomialNB,TFIDF,"(1, 1)",1,0.99,5000,5000,0.9352,0.9158,0.9328,0.9128,2.0,"ngram=(1, 1), min_df=1, max_df=0.99"
99,MultinomialNB,TFIDF,"(1, 1)",5,0.9,4888,5000,0.9347,0.9161,0.9323,0.913,1.93,"ngram=(1, 1), min_df=5, max_df=0.9"
100,MultinomialNB,TFIDF,"(1, 1)",5,0.95,4888,5000,0.9347,0.9161,0.9323,0.913,1.93,"ngram=(1, 1), min_df=5, max_df=0.95"
101,MultinomialNB,TFIDF,"(1, 1)",5,0.99,4888,5000,0.9347,0.9161,0.9323,0.913,1.93,"ngram=(1, 1), min_df=5, max_df=0.99"
102,MultinomialNB,TFIDF,"(1, 1)",10,0.9,3185,5000,0.9279,0.9099,0.9253,0.9067,1.86,"ngram=(1, 1), min_df=10, max_df=0.9"
103,MultinomialNB,TFIDF,"(1, 1)",10,0.95,3185,5000,0.9279,0.9099,0.9253,0.9067,1.86,"ngram=(1, 1), min_df=10, max_df=0.95"
104,MultinomialNB,TFIDF,"(1, 1)",10,0.99,3185,5000,0.9279,0.9099,0.9253,0.9067,1.86,"ngram=(1, 1), min_df=10, max_df=0.99"
105,MultinomialNB,TFIDF,"(1, 1)",20,0.9,1987,5000,0.9188,0.9045,0.9157,0.9008,1.49,"ngram=(1, 1), min_df=20, max_df=0.9"
106,MultinomialNB,TFIDF,"(1, 1)",20,0.95,1987,5000,0.9188,0.9045,0.9157,0.9008,1.49,"ngram=(1, 1), min_df=20, max_df=0.95"
107,MultinomialNB,TFIDF,"(1, 1)",20,0.99,1987,5000,0.9188,0.9045,0.9157,0.9008,1.49,"ngram=(1, 1), min_df=20, max_df=0.99"
108,MultinomialNB,TFIDF,"(1, 2)",1,0.9,5000,5000,0.9341,0.917,0.9318,0.9139,1.79,"ngram=(1, 2), min_df=1, max_df=0.9"
109,MultinomialNB,TFIDF,"(1, 2)",1,0.95,5000,5000,0.9341,0.917,0.9318,0.9139,1.79,"ngram=(1, 2), min_df=1, max_df=0.95"
110,MultinomialNB,TFIDF,"(1, 2)",1,0.99,5000,5000,0.9341,0.917,0.9318,0.9139,1.79,"ngram=(1, 2), min_df=1, max_df=0.99"
111,MultinomialNB,TFIDF,"(1, 2)",5,0.9,5000,5000,0.934,0.917,0.9316,0.9139,1.78,"ngram=(1, 2), min_df=5, max_df=0.9"
112,MultinomialNB,TFIDF,"(1, 2)",5,0.95,5000,5000,0.934,0.917,0.9316,0.9139,1.78,"ngram=(1, 2), min_df=5, max_df=0.95"
113,MultinomialNB,TFIDF,"(1, 2)",5,0.99,5000,5000,0.934,0.917,0.9316,0.9139,1.78,"ngram=(1, 2), min_df=5, max_df=0.99"
114,MultinomialNB,TFIDF,"(1, 2)",10,0.9,4538,5000,0.9326,0.9158,0.9302,0.9127,1.76,"ngram=(1, 2), min_df=10, max_df=0.9"
115,MultinomialNB,TFIDF,"(1, 2)",10,0.95,4538,5000,0.9326,0.9158,0.9302,0.9127,1.76,"ngram=(1, 2), min_df=10, max_df=0.95"
116,MultinomialNB,TFIDF,"(1, 2)",10,0.99,4538,5000,0.9326,0.9158,0.9302,0.9127,1.76,"ngram=(1, 2), min_df=10, max_df=0.99"
117,MultinomialNB,TFIDF,"(1, 2)",20,0.9,2456,5000,0.921,0.9066,0.918,0.903,1.5,"ngram=(1, 2), min_df=20, max_df=0.9"
118,MultinomialNB,TFIDF,"(1, 2)",20,0.95,2456,5000,0.921,0.9066,0.918,0.903,1.5,"ngram=(1, 2), min_df=20, max_df=0.95"
119,MultinomialNB,TFIDF,"(1, 2)",20,0.99,2456,5000,0.921,0.9066,0.918,0.903,1.5,"ngram=(1, 2), min_df=20, max_df=0.99"
120,MultinomialNB,TFIDF,"(1, 3)",1,0.9,5000,5000,0.9338,0.9165,0.9314,0.9134,1.8,"ngram=(1, 3), min_df=1, max_df=0.9"
121,MultinomialNB,TFIDF,"(1, 3)",1,0.95,5000,5000,0.9338,0.9165,0.9314,0.9134,1.8,"ngram=(1, 3), min_df=1, max_df=0.95"
122,MultinomialNB,TFIDF,"(1, 3)",1,0.99,5000,5000,0.9338,0.9165,0.9314,0.9134,1.8,"ngram=(1, 3), min_df=1, max_df=0.99"
123,MultinomialNB,TFIDF,"(1, 3)",5,0.9,5000,5000,0.9337,0.9167,0.9313,0.9135,1.78,"ngram=(1, 3), min_df=5, max_df=0.9"
124,MultinomialNB,TFIDF,"(1, 3)",5,0.95,5000,5000,0.9337,0.9167,0.9313,0.9135,1.78,"ngram=(1, 3), min_df=5, max_df=0.95"
125,MultinomialNB,TFIDF,"(1, 3)",5,0.99,5000,5000,0.9337,0.9167,0.9313,0.9135,1.78,"ngram=(1, 3), min_df=5, max_df=0.99"
126,MultinomialNB,TFIDF,"(1, 3)",10,0.9,4666,5000,0.9327,0.9158,0.9303,0.9126,1.77,"ngram=(1, 3), min_df=10, max_df=0.9"
127,MultinomialNB,TFIDF,"(1, 3)",10,0.95,4666,5000,0.9327,0.9158,0.9303,0.9126,1.77,"ngram=(1, 3), min_df=10, max_df=0.95"
128,MultinomialNB,TFIDF,"(1, 3)",10,0.99,4666,5000,0.9327,0.9158,0.9303,0.9126,1.77,"ngram=(1, 3), min_df=10, max_df=0.99"
129,MultinomialNB,TFIDF,"(1, 3)",20,0.9,2482,5000,0.921,0.907,0.918,0.9034,1.47,"ngram=(1, 3), min_df=20, max_df=0.9"
130,MultinomialNB,TFIDF,"(1, 3)",20,0.95,2482,5000,0.921,0.907,0.918,0.9034,1.47,"ngram=(1, 3), min_df=20, max_df=0.95"
131,MultinomialNB,TFIDF,"(1, 3)",20,0.99,2482,5000,0.921,0.907,0.918,0.9034,1.47,"ngram=(1, 3), min_df=20, max_df=0.99"
132,MultinomialNB,TFIDF,"(2, 2)",1,0.9,5000,5000,0.8378,0.7984,0.8154,0.7669,4.85,"ngram=(2, 2), min_df=1, max_df=0.9"
133,MultinomialNB,TFIDF,"(2, 2)",1,0.95,5000,5000,0.8378,0.7984,0.8154,0.7669,4.85,"ngram=(2, 2), min_df=1, max_df=0.95"
134,MultinomialNB,TFIDF,"(2, 2)",1,0.99,5000,5000,0.8378,0.7984,0.8154,0.7669,4.85,"ngram=(2, 2), min_df=1, max_df=0.99"
135,MultinomialNB,TFIDF,"(2, 2)",5,0.9,4132,5000,0.825,0.7924,0.7988,0.7576,4.12,"ngram=(2, 2), min_df=5, max_df=0.9"
136,MultinomialNB,TFIDF,"(2, 2)",5,0.95,4132,5000,0.825,0.7924,0.7988,0.7576,4.12,"ngram=(2, 2), min_df=5, max_df=0.95"
137,MultinomialNB,TFIDF,"(2, 2)",5,0.99,4132,5000,0.825,0.7924,0.7988,0.7576,4.12,"ngram=(2, 2), min_df=5, max_df=0.99"
138,MultinomialNB,TFIDF,"(2, 2)",10,0.9,1353,5000,0.7505,0.7399,0.6892,0.6748,1.44,"ngram=(2, 2), min_df=10, max_df=0.9"
139,MultinomialNB,TFIDF,"(2, 2)",10,0.95,1353,5000,0.7505,0.7399,0.6892,0.6748,1.44,"ngram=(2, 2), min_df=10, max_df=0.95"
