,model,ngram_range,min_df,max_df,features_rec,max_features,test_accuracy,train_f1,test_f1,gap_percent,comments
0,LogisticRegression,"(1, 1)",1,0.9,10000,10000,0.9317616049201933,0.967679040119985,0.9308400118729593,3.68,"ngram=(1, 1), min_df=1, max_df=0.9"
1,LogisticRegression,"(1, 1)",1,0.95,10000,10000,0.9317616049201933,0.967679040119985,0.9308400118729593,3.68,"ngram=(1, 1), min_df=1, max_df=0.95"
2,LogisticRegression,"(1, 1)",1,0.99,10000,10000,0.9317616049201933,0.967679040119985,0.9308400118729593,3.68,"ngram=(1, 1), min_df=1, max_df=0.99"
3,LogisticRegression,"(1, 1)",10,0.9,3185,10000,0.9261971006003807,0.9537251965555972,0.9253554502369669,2.84,"ngram=(1, 1), min_df=10, max_df=0.9"
4,LogisticRegression,"(1, 1)",10,0.95,3185,10000,0.9261971006003807,0.9537251965555972,0.9253554502369669,2.84,"ngram=(1, 1), min_df=10, max_df=0.95"
5,LogisticRegression,"(1, 1)",10,0.99,3185,10000,0.9261971006003807,0.9537251965555972,0.9253554502369669,2.84,"ngram=(1, 1), min_df=10, max_df=0.99"
6,LogisticRegression,"(1, 1)",20,0.9,1987,10000,0.9199004246595403,0.9419537870021277,0.9191187342895165,2.28,"ngram=(1, 1), min_df=20, max_df=0.9"
7,LogisticRegression,"(1, 1)",20,0.95,1987,10000,0.9199004246595403,0.9419537870021277,0.9191187342895165,2.28,"ngram=(1, 1), min_df=20, max_df=0.95"
8,LogisticRegression,"(1, 1)",20,0.99,1987,10000,0.9199004246595403,0.9419537870021277,0.9191187342895165,2.28,"ngram=(1, 1), min_df=20, max_df=0.99"
9,LogisticRegression,"(1, 2)",1,0.9,10000,10000,0.9326402108654268,0.9734639492549638,0.9317507418397626,4.17,"ngram=(1, 2), min_df=1, max_df=0.9"
10,LogisticRegression,"(1, 2)",1,0.95,10000,10000,0.9326402108654268,0.9734639492549638,0.9317507418397626,4.17,"ngram=(1, 2), min_df=1, max_df=0.95"
11,LogisticRegression,"(1, 2)",1,0.99,10000,10000,0.9326402108654268,0.9734639492549638,0.9317507418397626,4.17,"ngram=(1, 2), min_df=1, max_df=0.99"
12,LogisticRegression,"(1, 2)",10,0.9,4538,10000,0.9278078781666422,0.9612664196699225,0.9269304876241292,3.43,"ngram=(1, 2), min_df=10, max_df=0.9"
13,LogisticRegression,"(1, 2)",10,0.95,4538,10000,0.9278078781666422,0.9612664196699225,0.9269304876241292,3.43,"ngram=(1, 2), min_df=10, max_df=0.95"
14,LogisticRegression,"(1, 2)",10,0.99,4538,10000,0.9278078781666422,0.9612664196699225,0.9269304876241292,3.43,"ngram=(1, 2), min_df=10, max_df=0.99"
